作者,发帖数量,百分比,数值百分比
Just｜Monika,265,8.03%,8.027870342320508
SakaiShana,121,3.67%,3.6655558921538924
丶夜鹰之梦丶,111,3.36%,3.3626173886701
hcahcsroR,85,2.57%,2.5749772796122388
oftc3121,54,1.64%,1.6358679188124812
Respecolt,53,1.61%,1.6055740684641016
即食型派蒙,41,1.24%,1.2420478642835504
HuniePoppuppy,37,1.12%,1.1208724628900333
doyun26,27,0.82%,0.8179339594062406
麦林Mognum,24,0.73%,0.7270524083611027
xyz_official,23,0.70%,0.6967585580127235
久远寺宅的草十郎,22,0.67%,0.6664647076643442
KumikoP1,21,0.64%,0.6361708573159649
GoldenAlien,20,0.61%,0.6058770069675856
u天地图新客户喜欢看,19,0.58%,0.5755831566192063
╭老船长﹎,16,0.48%,0.48470160557406844
岩砂土,16,0.48%,0.48470160557406844
10RANCE,16,0.48%,0.48470160557406844
是谁的书画,16,0.48%,0.48470160557406844
盖亚！！！！！,16,0.48%,0.48470160557406844
康康康kang,16,0.48%,0.48470160557406844
新死难者23eer,15,0.45%,0.45440775522568916
CH3CH3,15,0.45%,0.45440775522568916
Overtheworld1st,14,0.42%,0.4241139048773099
早赖尿邮箱,14,0.42%,0.4241139048773099
是萝莉就能当妈妈,14,0.42%,0.4241139048773099
KumikoP2,13,0.39%,0.3938200545289306
renkan119,13,0.39%,0.3938200545289306
牛牛福福,13,0.39%,0.3938200545289306
鬼屎蛋,13,0.39%,0.3938200545289306
仟音一心,12,0.36%,0.36352620418055137
超级机器人大战Y,12,0.36%,0.36352620418055137
witchspring,12,0.36%,0.36352620418055137
三月七的冒烟白丝,12,0.36%,0.36352620418055137
fkh012345,12,0.36%,0.36352620418055137
知世就是力量z,11,0.33%,0.3332323538321721
八云 紫,11,0.33%,0.3332323538321721
ls51476,11,0.33%,0.3332323538321721
面包与奶油,11,0.33%,0.3332323538321721
那就原谅他,10,0.30%,0.3029385034837928
桃玲音音,10,0.30%,0.3029385034837928
爱民如子石天王,10,0.30%,0.3029385034837928
1糯米糖果1,10,0.30%,0.3029385034837928
南野奏太,9,0.27%,0.27264465313541353
Cerydra,9,0.27%,0.27264465313541353
天空霸,9,0.27%,0.27264465313541353
街健夜鱼,9,0.27%,0.27264465313541353
怀汲深,9,0.27%,0.27264465313541353
韩老魔航天尊,9,0.27%,0.27264465313541353
石中玉5265,8,0.24%,0.24235080278703422
夜风物语,8,0.24%,0.24235080278703422
无漏的伟健,8,0.24%,0.24235080278703422
薄荷口味奥利奥,8,0.24%,0.24235080278703422
南下北落师门,8,0.24%,0.24235080278703422
hhhhhhttt,8,0.24%,0.24235080278703422
薄伽丘的小黄书,8,0.24%,0.24235080278703422
“聯系者”申武龍,8,0.24%,0.24235080278703422
流氓切击择投,7,0.21%,0.21205695243865494
Hopevheater719,7,0.21%,0.21205695243865494
暗淡蓝点n,7,0.21%,0.21205695243865494
愚鱼欲与渔语,7,0.21%,0.21205695243865494
。轻舟已过万重山,7,0.21%,0.21205695243865494
闪光猫头鹰哦,7,0.21%,0.21205695243865494
Viviankl,7,0.21%,0.21205695243865494
牌之舌,7,0.21%,0.21205695243865494
繁星之愿,7,0.21%,0.21205695243865494
反式D羟脯氨酸,7,0.21%,0.21205695243865494
山村榴花,7,0.21%,0.21205695243865494
林登万的梦想,7,0.21%,0.21205695243865494
驱逐蜥蜴定要先驰得点,7,0.21%,0.21205695243865494
KOISHIYAKUMO,7,0.21%,0.21205695243865494
啤酒供应暂停,7,0.21%,0.21205695243865494
千早如月,7,0.21%,0.21205695243865494
クオン久遠,7,0.21%,0.21205695243865494
待兼福来厨,6,0.18%,0.18176310209027569
插花少女若心影,6,0.18%,0.18176310209027569
AlexiusRH,6,0.18%,0.18176310209027569
艾丝蒂尔Bright,6,0.18%,0.18176310209027569
Hemioh,6,0.18%,0.18176310209027569
想退休0219,6,0.18%,0.18176310209027569
Abckksmd,6,0.18%,0.18176310209027569
蠕动之群星,6,0.18%,0.18176310209027569
倚剑笑紅尘,6,0.18%,0.18176310209027569
嚣张桐人,6,0.18%,0.18176310209027569
不可估量之触,6,0.18%,0.18176310209027569
呼啦圈呼啦圈巴莱,5,0.15%,0.1514692517418964
红苦艾Clover,5,0.15%,0.1514692517418964
吾心蒙尘,5,0.15%,0.1514692517418964
GOJiong,5,0.15%,0.1514692517418964
那边那鱼,5,0.15%,0.1514692517418964
新世界唯心主义,5,0.15%,0.1514692517418964
柏木麻友,5,0.15%,0.1514692517418964
坑爹的熊猫,5,0.15%,0.1514692517418964
TelluriumHCl,5,0.15%,0.1514692517418964
ssdsssssss,5,0.15%,0.1514692517418964
阿尔法不是贝塔,5,0.15%,0.1514692517418964
shinrex,5,0.15%,0.1514692517418964
雾雨魔力瞎,5,0.15%,0.1514692517418964
天生我才2015,5,0.15%,0.1514692517418964
うたわれ,5,0.15%,0.1514692517418964
间桐葬剑,5,0.15%,0.1514692517418964
清姬_,5,0.15%,0.1514692517418964
活久见套路深,5,0.15%,0.1514692517418964
Yaqstar,5,0.15%,0.1514692517418964
小独角丘比猫,5,0.15%,0.1514692517418964
安东斯拉维克,5,0.15%,0.1514692517418964
三鸦,5,0.15%,0.1514692517418964
暗珀星star,5,0.15%,0.1514692517418964
admin,4,0.12%,0.12117540139351711
冰上的谢宝庆,4,0.12%,0.12117540139351711
爆裂战士铁蓝宝,4,0.12%,0.12117540139351711
EndMP,4,0.12%,0.12117540139351711
坚定理想，勿忘革命,4,0.12%,0.12117540139351711
血魔-D,4,0.12%,0.12117540139351711
Norven3032,4,0.12%,0.12117540139351711
俺の子を孕む妹の記録,4,0.12%,0.12117540139351711
