序号,帖子标题,分类,置信度,关键词,作者
3095,《间谍过家家》TV第三季声优绘视觉图(画伯)一览,动画/番剧,0.99,"间谍过家家, 江口拓也, 早见沙织, 种崎敦美, 松田健一郎",GoldenAlien
1481,IGN评价《鬼灭之刃 无限城篇》 6分,动画/番剧,0.99,"鬼灭之刃, 无限城篇, 灶门炭治郎, 日野竜幸",食物链顶端的周白
1178,[新番讨论] [专楼] 《约会大作战 第五季》第12话:然后她的选择 每周三22:30播出,动画/番剧,0.99,"约会大作战, 五河士道, 精灵, DEM社, 拉塔托斯克",南瓜仙仙
687,[新番讨论][专楼]《新 乱马1/2 第二期》10月4日起每周六23:55播出,动画/番剧,0.98,"乱马1/2, 天道茜, 早乙女乱马, 山口胜平, 林原惠美",南瓜仙仙
1,[福利][声望派送]NG2九月活动任务：属性公约数(特别企划！),游戏,0.95,"NG2, 属性公约数, 声望, 接龙, 角色",欧米嘉·风焰
2080,[破事氵]这两天重温柯南，很好奇兰哀怎么闹成这样的,动画/番剧,0.95,"柯南, 兰, 新兰, 日语版",海角吾心
2081,会改剧情吗，不然有些剧情没头没尾的,动画/番剧,0.95,"咒术回战, 第三季, 死灭回游, 先导PV",即食型派蒙
2084,柯南动画制作组制作过哪些风评不错的原创剧集,动画/番剧,0.95,"柯南, 动画制作组, 弓箭, 绳索, 基德",wjdxzhwx
2085,菲伦像下芙莉莲,游戏,0.95,"菲伦, 芙莉莲, 最终幻想XIV",SakaiShana
2086,[配平氵] 如果柯南搞配平的话，大家可以接受吗？,动画/番剧,0.95,"柯南, 工藤新一, 灰原哀, 小兰",#anony_9fa7a27c96efe7122db28f2eb46e0593
2087,[柯南归猴氵] 来解析一下柯南最新的OP60《Poker Face》(扑克脸)~,动画/番剧,0.95,"柯南, OP60, 扑克脸, Miss Mystery, 工藤新一",地狱叉
2088,什么？这有G罩杯的吗？,动画/番剧,0.95,"G罩杯, 角色",Just｜Monika
2089,想补冰海战记，看动画还是漫画好点,动画/番剧,0.95,冰海战记,超我s
2091,有一说一，白眼算不算通透世界？,动画/番剧,0.95,"日向, 木叶, 通透",坚定理想，勿忘革命
2090,剧版柯南氵,动画/番剧,0.95,"剧版柯南, 柯南",Keith-Shadis
2078,[柯南氵]这CP也太邪门了吧？,动画/番剧,0.95,"柯南, CP",芝士鸡排盖饭
2092,[可动成品] 布鲁可初音跃动声芒,虚拟主播/VTuber,0.95,"初音, 布鲁可, VTuber, 跃动声芒, 支架",瑠璃色刹那
2093,聊聊诡秘动画的打戏问题，以及该咋改会更好。,动画/番剧,0.95,"诡秘动画, 伦纳德, 怪兽, 血水",千若雨方
2094,[新闻资讯] FREEing 1/4 <饿狼传说：群狼之城> 不知火舞 樱岚之舞 朱雀,手办/周边,0.95,"FREEing, 饿狼传说：群狼之城, 不知火舞, 樱岚之舞, 朱雀",hcahcsroR
2095,这么多年过去了青山刚昌还是对舰队收藏爱得深沉啊,游戏,0.95,"动物森友会, 宝可梦, 芙莉莲, 天麻",盖亚！！！！！
2096,加布这个设定让我想到一个很地狱的情况,动画/番剧,0.95,"加布, 骑士, 火系, 特效",KumikoP1
2097,《漫威丧尸MARVEL ZOMBIE》9月24日上线，全四集,动画/番剧,0.95,"漫威, 丧尸, WHAT IF…, MARVEL ZOMBIE",仟音一心
