关键词,出现次数,百分比,数值百分比
机动战士高达,90,0.65%,0.6483682731791658
手办,75,0.54%,0.5403068943159715
mon_202509,68,0.49%,0.48987825084648084
动画,59,0.43%,0.4250414235285643
海贼王,50,0.36%,0.36020459621064765
NGA,47,0.34%,0.3385923204380088
漫画,38,0.27%,0.27375549312009223
假面骑士,37,0.27%,0.2665514011958793
咒术回战,36,0.26%,0.2593473092716663
游戏,33,0.24%,0.23773503349902744
加布,30,0.22%,0.2161227577263886
高达,29,0.21%,0.20891866580217563
模型,28,0.20%,0.2017145738779627
鬼灭之刃,28,0.20%,0.2017145738779627
夏亚,27,0.19%,0.19451048195374973
女主,27,0.19%,0.19451048195374973
角色,26,0.19%,0.18730639002953678
魔裁,23,0.17%,0.1656941142568979
VTuber,22,0.16%,0.15849002233268497
奥特曼,21,0.15%,0.15128593040847202
柯南,21,0.15%,0.15128593040847202
火影,20,0.14%,0.14408183848425907
反派,18,0.13%,0.12967365463583316
丝之歌,17,0.12%,0.12246956271162021
男主,17,0.12%,0.12246956271162021
B站,17,0.12%,0.12246956271162021
本子,16,0.12%,0.11526547078740725
阿姆罗,16,0.12%,0.11526547078740725
mon_202508,16,0.12%,0.11526547078740725
同人,15,0.11%,0.1080613788631943
mon,15,0.11%,0.1080613788631943
恋人不行,15,0.11%,0.1080613788631943
卡缪,15,0.11%,0.1080613788631943
洛克斯,14,0.10%,0.10085728693898136
二次元,14,0.10%,0.10085728693898136
ntr,14,0.10%,0.10085728693898136
剧情,14,0.10%,0.10085728693898136
周边,14,0.10%,0.10085728693898136
勇者,14,0.10%,0.10085728693898136
哥斯拉,13,0.09%,0.09365319501476839
声优,13,0.09%,0.09365319501476839
gal,13,0.09%,0.09365319501476839
图片,13,0.09%,0.09365319501476839
纯爱,13,0.09%,0.09365319501476839
游戏王,13,0.09%,0.09365319501476839
主角,13,0.09%,0.09365319501476839
异世界,13,0.09%,0.09365319501476839
天龙人,12,0.09%,0.08644910309055544
GSC,12,0.09%,0.08644910309055544
百变怪娘,12,0.09%,0.08644910309055544
黄毛,12,0.09%,0.08644910309055544
虚拟主播,12,0.09%,0.08644910309055544
乙骨忧太,12,0.09%,0.08644910309055544
寿屋,11,0.08%,0.07924501116634249
艾玛,11,0.08%,0.07924501116634249
宝可梦,11,0.08%,0.07924501116634249
魔法少女,11,0.08%,0.07924501116634249
cosplay,11,0.08%,0.07924501116634249
拔作岛,11,0.08%,0.07924501116634249
机战,11,0.08%,0.07924501116634249
无惨,11,0.08%,0.07924501116634249
黑胡子,10,0.07%,0.07204091924212953
紫阳花,10,0.07%,0.07204091924212953
作品,10,0.07%,0.07204091924212953
大黄蜂,10,0.07%,0.07204091924212953
Fate/Grand Order,10,0.07%,0.07204091924212953
202509,10,0.07%,0.07204091924212953
拼装,10,0.07%,0.07204091924212953
骑士,10,0.07%,0.07204091924212953
美少女,10,0.07%,0.07204091924212953
特摄,10,0.07%,0.07204091924212953
万代,10,0.07%,0.07204091924212953
日常,10,0.07%,0.07204091924212953
初音未来,10,0.07%,0.07204091924212953
极狐,10,0.07%,0.07204091924212953
AI,10,0.07%,0.07204091924212953
芙莉莲,10,0.07%,0.07204091924212953
机器人,9,0.06%,0.06483682731791658
魔王,9,0.06%,0.06483682731791658
空洞骑士,9,0.06%,0.06483682731791658
希罗,9,0.06%,0.06483682731791658
剧场版,9,0.06%,0.06483682731791658
恋爱,9,0.06%,0.06483682731791658
三国,9,0.06%,0.06483682731791658
火影忍者,9,0.06%,0.06483682731791658
鸣人,9,0.06%,0.06483682731791658
夏琪,9,0.06%,0.06483682731791658
奥美迦,9,0.06%,0.06483682731791658
血月,9,0.06%,0.06483682731791658
绊斗,9,0.06%,0.06483682731791658
PVC&ABS,9,0.06%,0.06483682731791658
NTR,9,0.06%,0.06483682731791658
鲁路修,9,0.06%,0.06483682731791658
令和,9,0.06%,0.06483682731791658
BanG Dream!,8,0.06%,0.05763273539370362
乐队,8,0.06%,0.05763273539370362
圣巢,8,0.06%,0.05763273539370362
2025,8,0.06%,0.05763273539370362
穿越,8,0.06%,0.05763273539370362
妹妹,8,0.06%,0.05763273539370362
东映,8,0.06%,0.05763273539370362
魅魔,8,0.06%,0.05763273539370362
萝莉,8,0.06%,0.05763273539370362
女友,8,0.06%,0.05763273539370362
figma,8,0.06%,0.05763273539370362
少女,8,0.06%,0.05763273539370362
龙,8,0.06%,0.05763273539370362
真希,8,0.06%,0.05763273539370362
动漫,8,0.06%,0.05763273539370362
漫威,8,0.06%,0.05763273539370362
进击的巨人,8,0.06%,0.05763273539370362
路飞,7,0.05%,0.05042864346949068
魔女,7,0.05%,0.05042864346949068
圣刃,7,0.05%,0.05042864346949068
王总,7,0.05%,0.05042864346949068
白王,7,0.05%,0.05042864346949068
氵,7,0.05%,0.05042864346949068
水魔,7,0.05%,0.05042864346949068
怪兽,7,0.05%,0.05042864346949068
偶像,7,0.05%,0.05042864346949068
小说,7,0.05%,0.05042864346949068
CG,7,0.05%,0.05042864346949068
五条悟,7,0.05%,0.05042864346949068
宿傩,7,0.05%,0.05042864346949068
大蛇丸,7,0.05%,0.05042864346949068
艾斯,7,0.05%,0.05042864346949068
蝙蝠侠,7,0.05%,0.05042864346949068
画师,7,0.05%,0.05042864346949068
变身,7,0.05%,0.05042864346949068
初音,7,0.05%,0.05042864346949068
身材,7,0.05%,0.05042864346949068
外星人,7,0.05%,0.05042864346949068
泳装,7,0.05%,0.05042864346949068
1/7比例,7,0.05%,0.05042864346949068
联动,7,0.05%,0.05042864346949068
魔法,7,0.05%,0.05042864346949068
可动,7,0.05%,0.05042864346949068
战锤,7,0.05%,0.05042864346949068
卡普,7,0.05%,0.05042864346949068
后宫,7,0.05%,0.05042864346949068
死神,7,0.05%,0.05042864346949068
新作,7,0.05%,0.05042864346949068
龙族,7,0.05%,0.05042864346949068
女仆,7,0.05%,0.05042864346949068
人工智能,6,0.04%,0.04322455154527772
皮套,6,0.04%,0.04322455154527772
Max Factory,6,0.04%,0.04322455154527772
粘土人,6,0.04%,0.04322455154527772
